sort,book,chapter,verse,source,target
255856641,1PE,1,1,"Peter, an apostle of Jesus Christ, to the foreigners of the dispersion, the chosen ones, throughout Pontus, Galatia, Cappadocia, Asia, and Bithynia.","Petro entumwa ya yesu Kristu omubha conzilwe, abhaikala nkabhagenyi omuli ponto na Galatia na Kapadokia, Asia na Bithinia."
255856642,1PE,1,2,"This is according to the foreknowledge of God the Father, through the sanctifying work of the Spirit, for obedience and for the sprinkling of the blood of Jesus Christ. May grace be to you, and may your peace increase.","Nka omukama Mungu okuyeizile kutumanya nokwezwa kwa mwoyo, mpaka mkagira amakune no kusheshekerwa obwamba bwa Yesu Kristu omugisha nemilembe zikanyishwe omulimwe."
255856643,1PE,1,3,"May the God and Father of our Lord Jesus Christ be praised! In his great mercy, he has given us new birth to a living hope through the resurrection of Jesus Christ from the dead.","Asimwe Mungu, lshe womukamamweitu Yesu Kristu abaliwenene, omuchisa che chnga akatuzala omulundigwa kabaiti ngu tubone omwesigwa oguine emilembe."
255856644,1PE,1,4,"This is for an inheritance that will not perish, will not become stained, and will not fade away. It is reserved in heaven for you.","Tubhase, kubhone obhusika obhuthawaho, obhutaine obhuchafu, obhutalikwoma obhubhikorwe omusigulu aharweitu."
255856645,1PE,1,5,You are protected by God's power through faith for the salvation that is ready to be revealed in the last time.,Naimwe nonlindwa namani ga Mungu omumuhanda gomwesigo mpaka obhulokozi omwahandaliwe kusurulorwa akanya kanzindo.
255856646,1PE,1,6,"In this you greatly rejoice, even though now, for a little while, you may have to suffer all kinds of trials.","Nimsemelerwa muno akanya ako, chonka akanya kake kibilayadwa, musasile omunhitinisa ebyabhulingeli."
255856647,1PE,1,7,"This is for the proving of your faith, which is more precious than gold that perishes, even though it is tested by fire. This happens so that your faith will be found to result in praise, glory, and honor at the revealing of Jesus Christ.","Ngu okulengeaibw ohamwesigoyanyu eyeine amasiko gezahabu elikubula, a halwokubha yonene nelengesanwa ahamuliro."
255856648,1PE,1,8,"You have not seen him, but you love him. You do not see him now, but you believe in him and rejoice with joy that is inexpressible and filled with glory.","Nawe nimumwenda, chonka timlambweine chonka nobwomutalambweine nimumwesiga. Nokushemelerwa muno, nimsanduka, amesemelerwa etalikugambwa eyeine obutakatifu."
255856649,1PE,1,9,"You are now receiving for yourselves the result of your faith, the salvation of your souls.","Omukuhebwa, enoperwa yomwesigo gweitio ogobhulokozi bwemieyo yetu."
255856650,1PE,1,10,"Concerning this salvation, the prophets who prophesied about the grace that was to come to you searched diligently and examined carefully,","Omumakuru gobhulokozi obwo abhalangi bhakaligahiga, nokulebhalebha ebhibhalangile amakura gomugisha elabhaghobha imwe."
