file_name,chapter,verse_number,verse_text,error
43.usfm,,,v 42 inji eyi wukutwesha kumwila manakweyi ngahi neyi eyi manakwami tali nikutumbuli kachibalu kanalakumukili mujisu jeyi hakwila ipulanga jiji mujisu jeyeyi aweni hiwunajilukuku eyi mfwikizhi sambilaku kufumisha ipulanga jiji mujisu jeyeyi aweni mwaka winzi wumoni kutumbula chachiwahi kachibalu kanalakumukili mujisu jamanakweyi,409.97427
46.usfm,,,v 6 ichi jinu atufumishili kunshimbi kuyumoyu yatukakeleli tuyafu kulonda twakakalakali munzhila yayiha yoyasipilitu bayi munzhila yayikulu yanjikiliwu ichi jinu tukwakula netuji nshimbi hishinji tahinji chinzhila ilanga jinu hanaji kwiluka nshiji chakaji nshimbiku mulonga neyi nshimbi yabulili kwila nawu kwikala nalwisu chazhila hinaji kwiluka lwisuku,405.3276
67.usfm,,,v 9 chiyakumini yumiyi nami nitali hinukumona izaza jeneni jakaji kutwesha kujichinja kuji muntu jawantu akunyunza yezhima akunyichiji yezhima akumatunga ezhima akumajimi ezhima anemani kumesu etanja jawanta nikumesu amwana kamukoku anavwali nyinkukumba yitooka anakwati nyitayi yanyikoma kumakasawu,403.0531
67.usfm,,,v 4 hinukumona matanja awanta niáshakamahu anayinki jehi ngovu yakusompesha hinukumona niantu aketwiluwu nyitu kukoola kumushimuna yesu nezu janzambi hinukumona ninawa abulili kujifukula kuji owu kanyama hela kunkishi yinji abulili kufunjawu hamahamawu nihamakasawu hiyakuhanja hiyakuyuulila hamu naklistu ikombakazhi janyaka 1000,384.01132
67.usfm,,,v 8 awa amomi awana akweti mpuula iwu zhitanu nayimu iwu zhitanu nayimu muyawana wawu ela kwamesu hohu hezhima kwinjo nimukachi nimwaana niwufuku hiyanookangaku nakwila nawu wazhila wazhila wazhila mwanta nzambi watwesha yezhima wajingi kwoku wekala kwoku wamba kenza,375.77747
67.usfm,,,v 8 aka kanyama kiwunamoni kajinguku katataka hikwosi kenga katupuki mwikela kenga kayi nakukisika antu ashakama heseki anabuli kusonekawu mazhinawu mumukanja wawumi wásonekeluwu jehi kufumisha haaliluwu chikuku champata yamunu mwishina akahayama chakamonawu kanyama kajinguku katataka hikwosi hikakwinza,371.747
46.usfm,,,v 13 inji chuma chachiwahi chatelela kuleta kufwa tahinji chatela wanyi alonjeli nshinji yimwekani nawu hinshiji yaleteli kufwa munjami nachuma chachiwahi kulonda nshiji yiikali yaswezha nankanshi kutama nanshiji yineli yawusipilitu ilanga niji wachisemwa chaheseki alanjishajehi kuchisemwa chanshinji,360.46878
49.usfm,,,v 16 yetu tuneluki netu muntu hiyakutwesha kumuyingisha nakumutena walonga nanyijimu yanshimbuku chinga nakumukuhwelela yesu kristu hohu ninetu aweni tunamukuhweleli kristu yesu kulonja atuyingishi nakututena alonga hakukuhwelela kristu bayi nanyijimu yanshimbuku mulonga hikuji muntu akuyingishawu nakumutena walonga nanyijimu yanshimbuku,354.87524
45.usfm,,,v 27 chuma chitukukeng’a kumona kukala chakwila mujimu wetu iwu keng’a awujiwuli himwenomu hohuku tembeli yambala yamukishi wamumbanja walema jiyana keng’a yisawuki kuji chuma chikwawu nawa wanta winji waweni walemeshang’awu muasiya mwezhima chalala hela mumpata yamunu mwishina yezhima keng’a wili chimwang’azhi,353.44592
67.usfm,,,v 23 hela chezhezhi chenongu hichamba katongeka nawa chengi mujeyi nichantuku hela izu jakalemba hela jakankanga hijamba katiyakana chengi mujeyi hela ifuku jimuku mulonga antu eyi akwakulanjisha nakulanjulula ajingi atulamba ahanu heseki mulonga wajimbili nyunza yezhima nakupanja kweyi,353.2922
67.usfm,,,v 12 yuma yawulu nisiliva nitumalola twalema wuseya nimpelola nimahina amawahi atooka niawusombu niasenena niachinana ninyitonju yanunka chachiwahi yezhima niyuma yakutunga namazhi anzovu ezhima niyuma yakutunga nanyitonju yalema wuseya yezhima niwunengu niyikungu nimalola amawahi,347.0677
67.usfm,,,v 19 hiyakujisukwila lunkungu hanyitu yawu hiyakukaloka nyiteti nikujila makumbu nikunenga nawu oyu yihungu oyu yihungu nganja yeneni mwajiheteshelelangawu antu ezhima ajingi namaatu hakalungalwizhi nayuma yinji yaswezha kulema wuseya mulonga mumpinzhi yimu hohu anamubalumuni kwikala ihembi,345.34888
41.usfm,,,v 16 henohu helodi chanamoniyi ninji anamujiwuli kuji aakwamaana hakuswezha kuzuwa nankashi hakutemeshaku nzhita yakuzhaha anyana amayala ezhima ajingi mubetelemi niajingi kunginza zhawu zhezhima nianyaka yiyeji niabulili kushika munyaka yiyeji nakweseka mwatiyililiyi chakashinshi kuji akwamaana,334.56186
67.usfm,,,v 4 ami yowanu nasonekeli yipompelu yekala muasiya yitanu nayiyeji luwi lwikali nanenu nikuwunja kwakufuma kuji owu wekala kwoku wajingi kwoku wamba kenza kwakufuma nikuji spilitu wekala mutanu namuyeji wekala kumesu etanja jinji jawanta,333.91425
67.usfm,,,v 18 kangelu mukwawu nawa hakufuma kukamenga wukweti wanta wakesi hakutambika owu wukweti chikwakwa chatwa nezu jatiyakana ninji shaku chikwakwa cheyi chatwa wukunguli yizakafu yamabuzhi amuvinyu waheseki mulonga mabuzhi awu aswezha jehi kuha,333.8071
